SH.DTH.COMM.ZS,SH.DYN.NCOM.ZS,SH.H2O.SMDW.ZS,SH.MED.PHYS.ZS,SH.STA.SMSS.ZS,SH.PRV.SMOK,SH.STA.HYGN.ZS,SP.DYN.LE00.IN,SP.POP.65UP.TO.ZS,SP.POP.1564.TO.ZS
,,,1.12,,,,76.15,13.55,68.65
36.4,29.8,,0.28,,,37.75,64.49,2.58,54.32
63.4,16.5,,0.21,,,26.66,60.78,2.22,50.97
2.9,17.0,70.02,1.2,39.86,28.7,,78.46,13.74,68.58
,,90.64,3.33,100.0,33.5,,,,
19.97,20.71,,1.1,53.4,21.96,70.17,71.62,4.56,62.66
6.5,16.8,,2.39,96.28,28.9,,77.81,1.09,84.31
15.9,15.8,,3.96,,21.8,,76.52,11.12,64.12
2.8,22.3,86.48,2.9,48.22,24.1,94.04,74.94,11.25,68.11
,,12.58,0.78,,,,,,
11.9,22.6,,2.76,,,,76.89,8.8,69.12
4.6,9.1,,3.59,75.64,14.7,,82.75,15.66,65.15
2.6,11.4,98.91,5.14,96.75,29.6,,81.64,19.0,66.7
8.8,22.2,73.56,3.45,,20.8,83.24,72.86,6.2,70.44
55.8,22.9,,0.05,,,6.14,61.25,2.25,52.25
7.9,11.4,99.52,3.32,97.1,28.2,,81.6,18.79,64.16
54.1,19.6,,0.16,,6.4,11.03,61.47,3.25,54.3
56.3,21.7,,0.06,,12.5,11.88,61.17,2.41,52.64
25.6,21.6,55.44,0.53,,23.0,34.81,72.32,5.16,67.14
2.2,23.6,96.95,3.99,64.41,37.0,,74.87,21.02,64.38
6.9,11.3,98.98,0.93,96.0,26.4,,77.16,2.43,78.32
16.9,15.5,,1.94,,11.5,,73.75,7.26,70.26
1.8,17.8,88.84,2.0,21.55,38.9,97.16,77.26,16.47,68.76
2.5,23.7,94.52,4.08,80.52,26.7,,74.18,14.85,68.29
19.4,22.1,,1.13,,,90.08,74.5,4.74,64.98
,,,1.77,,,,81.65,,
22.4,17.2,,1.61,22.94,,25.38,71.24,7.19,61.73
13.9,16.6,,2.15,49.28,13.9,,75.67,8.92,69.74
13.0,16.2,,2.49,,7.8,88.47,79.08,15.8,66.85
7.8,16.6,,1.77,,16.9,,75.72,4.87,72.1
20.9,23.3,36.16,0.37,,,79.81,71.46,6.0,68.23
46.0,20.3,,0.37,,20.0,,69.28,4.22,61.66
63.7,23.1,,0.06,,,16.6,52.8,2.83,52.88
5.6,9.8,98.86,2.61,82.32,14.3,,81.95,17.23,66.9
4.02,19.38,93.97,2.88,86.13,30.39,,77.03,18.46,66.4
4.3,8.6,95.46,4.24,99.54,25.7,,83.55,18.62,66.47
,,91.98,1.52,90.0,,,82.93,17.3,67.51
8.1,12.4,98.64,1.08,77.46,37.8,,80.04,11.53,68.72
3.8,17.0,,1.79,72.08,25.6,,76.7,10.92,71.2
52.4,29.1,36.55,0.23,,,19.35,57.42,2.86,55.2
53.9,21.6,,0.09,,,9.4,58.92,2.73,54.64
61.7,19.4,,0.09,,,4.47,60.37,3.02,50.82
55.5,16.7,45.35,0.12,,26.9,47.96,64.29,2.68,55.55
10.1,15.8,73.23,2.08,16.99,9.0,65.39,77.11,8.48,68.44
47.4,22.9,,0.17,,14.0,15.57,64.12,3.01,57.45
19.5,17.2,,0.77,,9.1,,72.78,4.61,66.61
6.4,11.5,93.8,1.15,,11.9,83.84,80.1,9.55,69.13
12.62,19.1,,1.57,,,76.2,73.52,8.8,67.49
8.4,16.4,,8.19,44.34,35.2,85.2,78.73,15.19,68.6
,,,,,,,78.02,16.68,64.43
,,,1.94,,,,82.19,,
4.1,11.3,99.61,1.95,75.46,36.4,,80.83,13.72,69.49
5.4,15.0,97.88,4.31,94.46,34.3,,78.98,19.42,64.99
4.8,12.1,99.8,4.21,97.23,30.6,,80.99,21.46,64.92
45.2,19.6,,0.22,36.44,13.1,,66.58,4.53,65.9
,,,1.08,,,,76.6,,
6.5,11.3,96.73,4.46,94.84,19.1,,81.35,19.81,63.73
15.8,19.0,,1.56,,13.7,55.18,73.89,7.08,64.94
14.8,14.2,,1.83,17.69,15.6,83.74,76.69,6.36,63.49
8.72,18.69,,1.48,70.95,26.71,,74.99,9.5,70.0
24.94,22.27,,0.94,,17.03,59.49,70.26,5.82,65.28
9.03,17.67,,1.58,63.51,26.23,,75.87,10.74,69.49
4.95,23.07,78.12,3.05,62.61,30.98,,73.4,12.05,66.91
5.27,16.82,91.76,3.37,67.39,29.29,,77.74,16.35,65.64
15.1,13.0,75.07,2.05,42.01,7.1,80.63,76.8,7.16,64.81
10.2,27.7,,0.79,60.74,25.2,89.83,71.82,5.23,60.97
5.42,11.1,98.07,3.85,93.94,29.13,,81.95,20.6,64.33
42.9,23.9,,0.06,,5.7,,65.94,4.08,55.74
5.1,9.9,98.44,4.07,96.62,29.3,,83.33,19.38,65.95
2.8,17.0,93.33,3.47,97.36,31.3,,78.54,19.63,64.02
49.0,18.3,11.44,0.1,,4.4,7.96,66.24,3.5,55.72
5.11,12.82,97.19,3.69,92.37,29.07,,80.97,20.16,64.69
50.36,22.69,,0.39,,,38.01,61.5,3.38,55.64
1.3,10.2,99.63,3.81,99.21,20.4,,81.83,21.72,62.13
10.1,30.6,,0.84,,22.6,,67.34,5.45,65.04
6.0,10.6,97.85,3.23,88.37,32.7,,82.53,20.03,62.01
,,,,,,,82.55,,
18.5,26.1,,0.18,,,,67.76,4.0,64.3
49.9,14.4,,0.36,,,,66.19,3.56,59.41
7.7,10.9,99.99,2.81,97.75,22.3,,81.36,18.4,63.93
2.7,24.9,79.99,5.1,27.17,28.8,,73.6,14.87,65.34
47.5,20.8,36.41,0.18,,3.9,41.05,63.78,3.07,59.34
,,100.0,,,,,,,
55.7,22.4,,0.08,,,17.45,61.18,2.93,53.22
54.8,20.4,,0.11,,15.5,7.88,61.74,2.59,53.14
62.1,20.0,,0.2,,,6.4,58.0,2.82,54.84
53.4,22.0,,0.4,,,24.64,58.4,2.46,60.43
10.9,12.4,100.0,4.59,90.39,43.4,,81.29,21.66,64.27
11.9,21.4,87.12,1.45,,,,72.38,9.62,66.82
,,96.75,1.14,94.84,,,70.85,,
25.1,14.9,55.99,0.36,,,76.67,74.06,4.81,60.75
,,99.54,1.08,,,,79.86,9.85,65.69
20.0,30.5,,0.8,,,77.16,69.77,6.45,65.34
6.69,12.14,98.73,3.0,86.03,24.1,,80.69,17.93,65.54
,,100.0,1.32,91.77,,,84.93,16.88,71.22
14.0,14.0,,0.31,,2.0,84.17,75.09,4.69,63.57
52.91,21.03,,0.16,,,19.53,62.75,3.03,54.12
2.3,16.7,89.96,3.0,58.5,37.0,,78.07,20.45,65.04
30.3,26.5,,0.23,,12.7,22.86,63.66,4.95,61.81
1.8,23.0,89.57,3.23,95.68,30.6,,75.82,19.16,66.43
14.17,19.81,,1.46,,21.0,,73.2,8.48,67.93
22.99,20.23,,1.21,,19.84,,70.86,7.22,65.29
47.36,22.16,,0.44,,14.82,35.63,63.96,3.56,57.59
50.08,22.82,30.85,0.72,,14.16,46.04,62.0,3.5,57.76
20.7,26.4,,0.38,,39.4,64.2,71.51,5.86,67.59
45.8,21.81,,0.3,,15.28,30.15,64.97,3.59,57.51
,,97.21,1.45,,,,77.97,,
26.0,23.3,,0.78,,11.5,59.55,69.42,6.18,66.77
,,,,,,,,,
5.1,10.3,97.32,3.09,82.41,24.3,,82.61,13.87,64.73
7.9,14.8,91.8,1.14,,11.0,,76.48,6.18,69.34
16.8,21.3,58.83,0.82,41.07,,94.58,70.45,3.32,58.29
4.4,9.1,100.0,3.97,81.76,14.7,,82.66,14.8,65.37
10.0,9.6,99.38,3.22,93.67,25.2,,82.8,11.98,60.1
4.9,9.5,95.04,4.09,96.21,23.7,,82.95,22.75,63.92
11.2,14.7,,1.32,,16.8,66.42,74.37,8.8,67.45
10.7,19.2,93.82,2.34,80.55,,,74.4,3.85,61.91
12.7,8.4,98.45,2.41,98.76,22.1,,84.21,27.58,59.73
4.5,26.8,89.51,3.25,,24.0,99.0,73.15,7.39,64.15
63.3,13.4,,0.2,,10.7,24.65,66.34,2.34,57.88
9.6,24.9,68.22,1.88,,26.5,89.22,71.4,4.49,63.15
25.6,21.1,25.85,0.17,,17.2,66.23,69.57,4.57,64.23
28.7,28.4,,0.2,,47.0,,68.12,3.95,60.51
,,,2.52,,,,71.34,,
10.1,7.8,98.21,2.37,99.9,23.3,,82.63,14.42,72.61
14.8,17.4,100.0,2.58,100.0,22.5,,75.4,2.55,75.91
13.85,16.13,,2.19,43.54,13.58,,75.08,8.24,66.99
31.4,27.0,16.08,0.5,58.05,28.9,49.84,67.61,4.08,63.32
3.6,17.9,47.7,2.27,21.76,33.8,,78.88,7.0,66.9
58.5,17.6,,0.04,,9.8,1.19,63.73,3.25,55.62
8.0,20.1,,2.16,26.11,,,72.72,4.39,67.29
9.7,18.8,,0.11,,,87.2,76.06,9.81,71.66
13.63,16.01,74.29,2.17,31.33,14.35,,75.28,8.44,67.01
47.55,21.63,,0.26,,15.88,28.28,64.71,3.54,57.03
50.12,21.69,26.68,0.32,,,23.22,63.39,3.29,54.82
,,100.0,,99.65,,,83.75,,
7.5,17.4,,0.96,,13.0,,76.81,10.47,65.33
30.25,23.21,53.66,0.75,,17.36,57.33,68.32,5.53,64.29
23.12,20.3,,1.22,,19.76,,70.8,7.16,65.29
59.3,26.6,,0.07,,26.7,2.12,53.7,4.9,62.38
5.88,17.65,,1.95,67.45,24.75,,76.0,10.72,70.26
3.6,20.7,92.04,4.34,91.31,28.8,,76.29,19.71,65.41
4.9,10.0,99.72,3.03,96.64,23.5,,82.1,14.18,69.94
2.7,21.9,95.19,3.19,85.82,37.0,,74.68,20.04,63.96
,,100.0,1.56,,,,84.12,10.48,75.86
,,,,,,,79.87,,
14.0,12.4,70.27,0.73,38.75,23.4,,76.45,7.01,65.78
,,100.0,6.56,100.0,,,,,
4.2,24.9,72.88,3.2,,24.2,86.98,71.81,11.47,72.67
46.2,22.9,,0.18,,,50.54,66.68,2.99,56.35
8.0,13.4,,1.04,,28.3,95.8,78.63,3.7,76.15
12.05,18.86,77.77,1.26,34.74,19.48,,73.9,5.18,64.93
9.8,15.7,42.87,2.25,50.41,14.0,87.85,74.99,7.22,66.22
,,,0.46,,,82.5,65.24,,
19.5,20.19,,1.32,,20.26,,71.7,7.64,66.59
1.9,20.3,81.01,2.87,16.56,,,75.69,13.67,69.81
60.6,24.6,,0.14,18.71,12.3,52.23,58.89,2.51,49.95
6.4,10.8,100.0,3.83,92.98,25.5,,82.35,20.35,65.37
23.6,24.2,,0.86,,20.3,79.29,66.87,5.78,67.84
12.24,19.57,,1.07,,19.44,,73.39,5.38,63.51
1.4,20.6,93.6,2.33,,45.9,,76.77,14.97,66.82
9.7,30.2,23.72,2.89,,25.6,71.18,69.69,4.08,65.51
,,90.24,0.44,,,,,,
65.3,18.4,,0.07,,16.6,12.23,60.16,2.89,52.44
53.4,18.1,,0.18,,,43.0,64.7,3.14,56.78
6.5,22.6,,2.02,,21.6,,74.42,11.47,70.73
59.7,16.4,,0.02,,14.5,8.7,63.8,2.65,53.45
17.5,17.2,93.33,1.51,88.63,21.5,,76.0,6.67,69.33
5.23,14.09,99.03,2.6,79.79,21.03,,78.91,15.95,65.63
49.3,21.3,,0.37,,21.4,44.6,63.37,3.64,59.45
,,96.66,1.98,,,,77.15,9.17,68.08
62.7,20.0,,0.05,9.6,7.7,9.31,62.02,2.6,47.42
62.7,22.5,20.13,0.38,26.65,5.8,41.95,54.33,2.75,53.39
10.9,14.2,51.6,1.01,,,,74.28,5.25,64.55
5.2,11.2,99.95,3.51,97.47,25.8,,81.76,19.2,64.7
7.3,9.2,98.34,4.63,76.32,20.2,,82.81,17.05,65.4
25.0,21.8,27.24,0.65,,22.8,47.78,70.48,5.73,63.86
,,,1.24,,40.0,,,,
4.6,10.1,100.0,3.03,88.68,16.0,,81.86,15.65,64.69
6.68,12.43,92.7,2.89,86.9,23.65,,80.14,17.12,65.05
10.5,17.8,90.28,1.97,,11.1,,77.63,2.39,75.36
39.53,18.38,,0.77,,23.21,,68.21,5.49,64.57
34.9,24.7,35.31,0.98,,20.1,59.61,67.11,4.31,60.42
15.6,13.0,,1.57,,6.1,,78.33,8.1,64.83
20.3,12.6,50.35,1.27,42.76,4.8,,76.52,8.09,66.12
